left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,gaze_direction,status_L,status_R
594.0705376344087,1442.6659498207885,962.3954888308674,1473.5497534087613,Looking left,Saccade,Saccade
546.0516619183286,1481.3553181386515,919.0648265773568,1500.0603225930631,Looking center,Saccade,Saccade
560.6192950285249,1492.1126222493888,934.9620052979085,1514.1581069861227,Looking center,Fixation,Fixation
560.6192950285249,1492.1126222493888,934.9620052979085,1514.1581069861227,Looking center,Fixation,Fixation
560.7624046798287,1492.1069152825655,936.5587205793603,1514.4119493059748,Looking left,Fixation,Fixation
559.1007678051363,1493.5413290971671,938.4278276714825,1515.4886546054058,Looking center,Fixation,Fixation
551.3205814016318,1491.9945426055006,926.2821779913063,1517.688080530771,Blinking,Fixation,Fixation
553.5430186823992,1489.8160029498524,931.4647810715257,1516.8431692502945,Blinking,Fixation,Fixation
554.1811281028369,1490.7802526595744,930.4914067472947,1515.1214088690856,Blinking,Fixation,Fixation
556.0020410543503,1493.3136225798928,937.0363861664977,1515.9650219668806,Blinking,Fixation,Fixation
556.3484585183755,1490.657655918131,935.9598387182343,1518.5628415300546,Blinking,Fixation,Fixation
554.7139818216979,1488.0407400244956,944.2660813365038,1513.657642826657,Blinking,Fixation,Fixation
549.5247093023256,1501.186369509044,934.8780094149294,1524.3703653889263,Blinking,Fixation,Fixation
543.9874566319722,1518.4338137176408,920.951063476238,1532.2725157859754,Blinking,Fixation,Fixation
542.2634352559649,1524.0249015520037,915.0015908900612,1538.3181780122247,Blinking,Fixation,Fixation
545.2941207184629,1446.829626148705,914.2270105441053,1464.6126235350307,Looking center,Saccade,Saccade
579.534284581847,1397.05781099598,951.9042548642292,1424.4330553773787,Looking center,Saccade,Saccade
572.6525734152852,1434.5603774756316,953.406968894428,1465.0273666718597,Blinking,Saccade,Saccade
546.5431361212823,1451.9007515899018,921.0527196252748,1485.647691425294,Blinking,Saccade,Saccade
547.518407960199,1465.1952343545431,925.5300350223877,1493.9517223034977,Looking center,Fixation,Fixation
548.4183175861018,1464.5494767855328,933.3714900829096,1491.3404333287526,Blinking,Fixation,Fixation
549.4585532443341,1464.6356204077408,932.3202786174268,1493.9585140403908,Blinking,Fixation,Fixation
548.6425789257893,1468.7327285772858,934.3681578343657,1498.1777471897224,Blinking,Fixation,Fixation
555.0523179187439,1468.8608675720589,939.8229965156795,1497.8434959349593,Blinking,Fixation,Fixation
543.638932957283,1474.8847758387685,931.3186830497795,1506.0735139676538,Blinking,Fixation,Fixation
549.5652488184598,1475.9768140116764,926.588948069241,1505.1640923213492,Blinking,Fixation,Fixation
543.9010941191098,1477.514733308467,921.1586351107309,1512.1289326109686,Blinking,Fixation,Fixation
539.8407675689414,1482.3045494980302,924.1665916704164,1514.6204689765511,Blinking,Fixation,Fixation
546.2510040160643,1483.0051820183962,931.7033121916843,1514.6227977448907,Blinking,Fixation,Fixation
542.5233289727777,1481.553541394132,912.7567015573143,1510.4621734320483,Blinking,Fixation,Fixation
544.568048457316,1481.5000315477316,912.7765567765567,1510.996081437942,Blinking,Fixation,Fixation
540.6797634941827,1486.8114946913345,918.1026440037772,1519.8219074598678,Blinking,Fixation,Fixation
563.7060836241702,1463.2795456100732,946.246360522372,1498.8363840719333,Blinking,Saccade,Saccade
563.7060836241702,1463.2795456100732,946.246360522372,1498.8363840719333,Blinking,Fixation,Fixation
549.0149274750036,1515.2509505703422,912.1201819898704,1546.118293415744,Blinking,Saccade,Saccade
523.5015647660484,1548.6669719868712,881.0935956790123,1580.6992283950617,Blinking,Saccade,Saccade
510.9879713162156,1572.3845323463645,871.0294511378848,1601.5550200803214,Blinking,Fixation,Fixation
482.0716913414087,1593.3349484073576,828.3246361835874,1619.9539309394645,Blinking,Saccade,Saccade
482.94255479969763,1585.881762228701,831.9793451361127,1614.356653340948,Blinking,Fixation,Fixation
447.1350067842605,1575.185210312076,741.1228692482018,1635.0216770125135,Blinking,Saccade,Saccade
471.2341645170536,1499.9656061908856,733.4638568683957,1571.8428194044188,Blinking,Saccade,Saccade
462.6386524822695,1498.2446808510638,748.315750028825,1566.9654675429495,Blinking,Fixation,Fixation
466.08519511468575,1492.4432529043788,763.8448487473829,1569.035520901018,Blinking,Fixation,Fixation
466.08519511468575,1492.4432529043788,763.8448487473829,1569.035520901018,Blinking,Fixation,Fixation
473.85,1485.4969444444444,796.1651567944251,1570.775493612079,Blinking,Fixation,Saccade
-1,-1,-1,-1,Unknown,Saccade,Saccade
463.09366391184574,1455.1701101928375,763.6649022513939,1539.427270802456,Looking center,Unknown,Unknown
466.7347079037801,1455.0164948453607,762.1621666666666,1541.6245,Blinking,Fixation,Fixation
476.81671361502345,1461.8659154929578,773.6662977990901,1543.4495266199435,Blinking,Fixation,Fixation
472.02070921985813,1468.8851063829786,772.0874935666495,1549.9494767541603,Blinking,Fixation,Fixation
481.8081795150199,1475.4145855953673,796.3019115715745,1556.3916532905298,Blinking,Fixation,Fixation
483.1374157098597,1485.303626754146,779.8525141372459,1559.7754852514138,Looking center,Fixation,Fixation
484.8856259659969,1487.9340546110252,784.5311123348017,1563.803597650514,Blinking,Fixation,Fixation
481.2815746309459,1480.5491160925824,799.7316010660106,1561.5659594095941,Blinking,Fixation,Fixation
479.3917878528657,1482.3090960935272,797.8775709083449,1563.2231625378263,Blinking,Fixation,Fixation
479.3917878528657,1482.3090960935272,797.8775709083449,1563.2231625378263,Blinking,Fixation,Fixation
485.1607709750567,1481.7356009070295,800.4869741804467,1562.7491151726138,Blinking,Fixation,Fixation
485.1607709750567,1481.7356009070295,800.4869741804467,1562.7491151726138,Blinking,Fixation,Fixation
487.18268618714194,1477.9830256736686,804.1036963805129,1561.437743724941,Blinking,Fixation,Fixation
487.18268618714194,1477.9830256736686,804.1036963805129,1561.437743724941,Blinking,Fixation,Fixation
483.35472269543817,1480.3180011357183,798.949304029304,1563.1950671550671,Blinking,Fixation,Fixation
483.35472269543817,1480.3180011357183,798.949304029304,1563.1950671550671,Blinking,Fixation,Fixation
483.96928245740344,1482.5737940964723,803.4938760426566,1563.0970330482526,Blinking,Fixation,Fixation
483.96928245740344,1482.5737940964723,803.4938760426566,1563.0970330482526,Blinking,Fixation,Fixation
487.72257273045915,1484.5536277602523,804.8218565266017,1567.3982531820845,Blinking,Fixation,Fixation
637.4100294985251,1340.2884300229432,927.3645531877576,1427.3356134350608,Looking center,Saccade,Saccade
